id,amenity
609019,Extra pillows and blankets
609019,Microwave
609019,Dining table
609019,Hair dryer
609019,City skyline view
609019,Drying rack for clothing
609019,Laundromat nearby
609019,Hangers
609019,Elevator
609019,Gas stove
609019,Free washer – In unit
609019,Shared beach access
609019,Dishes and silverware
609019,Ceiling fan
634088,Pack ’n play/Travel crib
634088,Dedicated workspace
634088,Oven
634088,Building staff
634088,TV with standard cable
634088,Bed linens
634088,Washer
634088,Hot water
634088,Hair dryer
634088,Dryer
634088,Hangers
634088,Coffee maker
634088,Room-darkening shades
634088,Refrigerator
634088,Essentials
634088,Kitchen
634088,Iron
634088,Stove
634088,Wifi
634088,Dishes and silverware
634088,Toaster
634088,Microwave
634088,Crib
634088,Free parking on premises
634088,Elevator
634088,Self check-in
634088,Air conditioning
720654,Dishes and silverware
720654,Essentials
720654,Hair dryer
720654,TV with standard cable
720654,Fire extinguisher
720654,Kitchen
720654,Beach access – Beachfront
720654,Shampoo
720654,Hangers
720654,Iron
720654,Coffee maker
720654,Refrigerator
720654,Garden view
720654,Free parking on premises
720654,Elevator
720654,Washer
720654,Air conditioning
720654,Wifi
761420,Dedicated workspace
761420,Private patio or balcony
761420,TV with standard cable
761420,Smoking allowed
761420,Body soap
761420,Bed linens
761420,Private backyard
761420,Shampoo
761420,Dining table
761420,Bathtub
761420,Host greets you
761420,Washer
761420,Window guards
761420,Laundromat nearby
761420,Coffee
761420,Hot water
761420,Hair dryer
761420,Dryer
761420,Hangers
761420,Coffee maker
761420,Wine glasses
761420,Room-darkening shades
761420,Blender
761420,Luggage dropoff allowed
761420,Refrigerator
761420,Dishwasher
761420,Essentials
761420,Pets allowed
761420,Fire extinguisher
761420,Kitchen
761420,Single level home
761420,Long term stays allowed
761420,Iron
761420,Private hot tub
761420,Drying rack for clothing
761420,Stove
761420,Conditioner
761420,Books and reading material
761420,Wifi
761420,Dishes and silverware
761420,Cooking basics
761420,Clothing storage: wardrobe
761420,Microwave
761420,Cleaning products
761420,Extra pillows and blankets
761420,Outdoor furniture
761420,Elevator
761420,Paid parking on premises
761420,Beach access – Beachfront
761420,Air conditioning
765614,Paid parking on premises
765614,Window AC unit
765614,Room-darkening shades
765614,Dedicated workspace
765614,Essentials
765614,Host greets you
765614,Wine glasses
765614,Coffee maker: espresso machine
765614,Coffee
765614,Iron
765614,Body soap
765614,Wifi
765614,Refrigerator
765614,TV with standard cable
765614,Blender
765614,Bed linens
765614,Hot water
765614,Mini fridge
765614,Kitchen
765614,Single level home
765614,Paid street parking off premises
765614,Beach access – Beachfront
765614,Long term stays allowed
765614,Microwave
765614,Extra pillows and blankets
765614,Stainless steel electric stove
765614,Dining table
765614,Private entrance
765614,Clothing storage
765614,Laundromat nearby
765614,Hangers
765614,Dishes and silverware
765614,Ceiling fan
899314,Dedicated workspace
899314,Private patio or balcony
899314,Oven
899314,Dove body soap
899314,Bed linens
899314,Dining table
899314,Coffee
899314,Hot water
899314,Hair dryer
899314,Hangers
899314,Wine glasses
899314,Room-darkening shades
899314,Blender
